ForecastDate,SInflationL,SInflationH,SCInflationL,SCInflationH,SGDPL,SGDPH,SCGDPL,SCGDPH,SUnemL,SUnemH,SCUnemL,SCUnemH
1 Jul 1996,3,3.25,3,3.25,2.5,3,2.5,3,5.25,5.75,5.5,5.5
1 Feb 1997,2.75,3.5,2.75,3,2,2.5,2,2.25,5.25,5.5,5.25,5.5
1 Jul 1997,2,2.75,2.25,2.5,3,3.5,3,3.25,4.75,5.25,4.75,5
1 Feb 1998,1.5,2.5,1.75,2.25,1.75,3,2,2.75,4.5,5,4.75,4.75
1 Jul 1998,1.25,2.25,1.75,2,2.75,3.25,3,3.25,4.25,4.5,4.25,4.5
1 Feb 1999,1.5,2.5,2,2.5,2,3.5,2.5,3,4.25,4.75,4.25,4.5
1 Jul 1999,1.75,2.5,2.25,2.5,3.25,4,3.5,3.75,4,4.5,4,4.25
1 Feb 2000,1.5,2.5,1.75,2,3.25,4.25,3.5,3.75,4,4.25,4,4.25
1 Jul 2000,2,2.75,2.5,2.75,3.75,5,4,4.5,4,4.25,4,4
1 Feb 2001,1.34,2.5,1.75,2.25,2,2.75,2,2.5,4.5,5,4.5,4.5
1 Jul 2001,2,2.75,2,2.5,1,2,1.25,2,4.75,5,4.75,5
1 Feb 2002,1,2,1.5,1.5,2,3.5,2.5,3,5.75,6.5,6,6.25
1 Jul 2002,1.25,2,1.5,1.75,3,4,3.5,3.75,5.5,6.25,5.75,6
1 Feb 2003,1.25,1.75,1.25,1.5,3,3.75,3.25,3.5,5.75,6,5.75,6
1 Jul 2003,1,1.75,1.25,1.5,2.25,3,2.5,2.75,6,6.25,6,6.25
1 Feb 2004,1,1.5,1,1.25,4,5.5,4.25,5,5.25,5.5,5.25,5.5
1 Jul 2004,1.5,2,1.75,2,4,4.75,4.25,4.75,5.25,5.5,5.25,5.25
1 Feb 2005,1.5,2,1.5,1.75,3.5,4,3.75,4,5,5.5,5.25,5.25
1 Jul 2005,1.5,2.25,1.75,2,3,3.75,3.5,3.5,5,5.25,5,5
1 Feb 2006,1.75,2.5,2,2,3.25,4,3.5,3.5,4.5,5,4.75,5
1 Jul 2006,2.25,3,2.25,2.5,3,3.75,3.25,3.5,4.5,5,4.75,5
1 Feb 2007,2,2.25,2,2.25,2.25,3.25,2.5,3,4.5,4.75,4.5,4.75
1 Jul 2007,2,2.25,2,2.25,2,2.75,2.25,2.5,4.5,4.75,4.5,4.75
1 Feb 2008,1.9,2.3,2,2.2,1,2.2,1.3,2,5,5.5,5.2,5.3
1 Jul 2008,2,2.5,2.2,2.4,0.8,1.8,1,1.6,5.5,5.8,5.5,5.7
1 Feb 2009,0.6,1.5,0.9,1.1,-2.5,0.2,-1.3,-0.5,8,9.2,8.5,8.8
1 Jul 2009,1.2,2,1.3,1.6,-1.6,-0.6,-1.5,-1.0,9.7,10.5,9.8,10.1
1 Feb 2010,1,2,1.1,1.7,2.3,4,2.8,3.5,8.6,10,9.5,9.7
1 Jul 2010,0.6,2.4,0.8,1,2.9,3.8,3,3.5,9,9.9,9.2,9.5
1 Feb 2011,0.7,1.8,1,1.3,3.2,4.2,3.4,3.9,8.4,9,8.8,9
1 Jul 2011,1.5,2.3,1.5,1.8,2.5,3,2.7,2.9,8.4,9.1,8.6,8.9
1 Feb 2012,1.3,2,1.5,1.8,2.1,3,2.2,2.7,7.8,8.6,8.2,8.5
1 Jul 2012,1.7,2,1.7,2,1.6,2.5,1.9,2.4,7.8,8.4,8,8.2
1 Feb 2013,1.6,1.8,1.6,1.7,1.6,2,1.7,1.8,7.7,8,7.8,7.9