,RFFX,PIM1GB,PIM1AL,PIM1_GBAL,UM1GB,UM1AL,UM1_GBAL,PIFCM,PIJCM,PINEXTYEAR,PIM1HALFGB,PIM1HALFALQ4,PIM1HALFGBAL,PI3HH_GBAL,UFCM,UJCM,UNEXTYEAR,U3HH
1987:01,6,,,,,,,3.25,3.75,4,,,,3.25,,,,6.625
1987:02,6.625,,,,,,,3.25,3.75,4,,,,,,,,6.275
1988:01,6.5,3.3,3.307223673,3.3,5.9,5.9,5.9,3.5,3.375,3.75,,,,3.5,5.875,5.5,5.75,5.875
1988:02,7.5,2.969308976,2.813299233,2.969308976,5.6,5.5,5.6,3.5,3.375,3.75,3.189098261,2.879988343,3.189098261,3.655450869,5.875,5.5,5.75,5.625
1989:01,9.0625,4.3,4.305114129,4.3,5.3,5.333333333,5.3,4.75,5.25,4.75,,,,4.75,5.375,5.5,5.75,5.375
1989:02,9.25,5.196611744,5.034032898,5.196611744,5.3,5.266666667,5.3,4.75,5.25,4.75,5.94857243,5.247137837,5.94857243,4.650713785,5.375,5.5,5.75,5.625
1990:01,8.25,4.5,4.59833795,4.5,5.3,5.3,5.3,4.25,4.75,4.125,,,,4.25,5.625,5.625,5.75,5.625
1990:02,8.25,4.553752889,4.35309973,4.553752889,5.4,5.3,5.4,4.25,4.75,4.125,5.721615576,5.122227766,5.721615576,3.951692212,5.625,5.625,5.75,5.6875
1991:01,6.25,6.3,6.223516949,6.3,5.9,5.9,5.9,3.625,3.5,3.5,,,,3.625,6.75,6.875,6.375,6.75
1991:02,5.75,4.904238006,4.690721649,4.904238006,6.8,6.833333333,6.8,3.625,3.5,3.5,2.89761902,2.55917394,2.89761902,3.80119049,6.75,6.875,6.375,6.625
1992:01,4,2.9,2.991772625,2.9,6.9,6.966666667,6.9,3.25,3.25,3,,,,3.25,6.875,7.375,6.75,6.875
1992:02,3.25,3.19920039,2.949852507,3.19920039,7.3,7.5,7.3,3.25,3.25,3,3.249406778,2.778661156,3.249406778,3.125296611,6.875,7.375,6.75,7.0625
1993:01,3,3,3.050108932,3,7.3,7.333333333,7.3,2.625,3.125,3.25,,,,2.625,6.875,6.75,6.625,6.875
1993:02,3,3.224579748,3.075822604,3.224579748,7,6.966666667,7,2.625,3.125,3.25,3.399564796,3.124812211,3.399564796,3.050217602,6.875,6.75,6.625,6.6875
1994:01,3.25,2.7,2.724923655,2.7,6.5,6.533333333,6.5,3,2.875,3.125,,,,3,6.625,6.125,6.125,6.625
1994:02,4.25,2.423795687,2.253814147,2.423795687,6.3,6.133333333,6.3,3,2.875,3.125,2.299217983,2.322963203,2.299217983,3.287891008,6.625,6.125,6.125,6.125
1995:01,6,2.7,2.652641207,2.7,5.6,5.566666667,5.6,3.25,3.25,3.0625,,,,3.25,5.5,5.9375,5.9375,5.5
1995:02,5.75,3.123507141,2.99164597,3.123507141,5.8,5.7,5.8,3.25,3.25,3.0625,3.349891147,3.256202223,3.349891147,3.106304427,5.5,5.9375,5.9375,5.9375
1996:01,5.25,2.7,2.650924482,2.7,5.6,5.566666667,5.6,2.875,3.125,2.875,,,,2.875,5.625,5.5,5.625,5.625
1996:02,5.25,2.92234764,2.792378449,2.92234764,5.5,5.433333333,5.5,2.875,3.125,2.875,3.599227796,3.745365143,3.599227796,2.762886102,5.625,5.5,5.625,5.5625
1997:01,5.25,3.1,3.190104167,3.1,5.3,5.266666667,5.3,2.875,2.375,2.75,,,,2.875,5.375,4.875,4.875,5.375
1997:02,5.5,2.371733251,2.310477002,2.371733251,4.9,4.9,4.9,2.875,2.375,2.75,1.698230073,2.092855934,1.698230073,2.900884963,5.375,4.875,4.875,4.875
1998:01,5.5,1.9,1.871713985,1.9,4.7,4.7,4.7,2,1.875,2.25,,,,2,4.75,4.375,4.625,4.75
1998:02,5.5,1.647666081,1.529338327,1.647666081,4.3,4.366666667,4.3,2,1.875,2.25,1.247222184,1.471101718,1.247222184,2.376388908,4.75,4.375,4.625,4.5
1999:01,4.75,1.5,1.548307184,1.5,4.4,4.4,4.4,2.25,2.375,2.25,,,,2.25,4.375,4.125,4.375,4.375
1999:02,5,2.121439007,2.109359001,2.121439007,4.2,4.266666667,4.2,2.25,2.375,2.25,2.544624432,2.742683144,2.544624432,2.227687784,4.375,4.125,4.375,4.25
2000:01,5.75,2,2.017828983,2,4.1,4.1,4.1,1.875,2.625,2.25,,,,1.875,4.125,4,4.125,4.125
2000:02,6.5,2.498950204,2.469568542,2.498950204,4,4,4,1.875,2.625,2.25,2.849696159,2.904064027,2.849696159,2.32515192,4.125,4,4.125,4.0625
2001:01,5.5,2.3,2.384858044,2.3,4,3.966666667,4,2,2.25,2.125,,,,2,4.5,4.875,5,4.5
2001:02,3.75,2.248477582,2.103428963,2.248477582,4.5,4.45,4.5,2,2.25,2.125,2.648526536,2.338014285,2.648526536,1.988236732,4.5,4.875,5,4.9375
2002:01,1.75,,1.282682252,1.282682252,,5.6,5.6,1.5,1.625,1.625,,,,1.5,6.125,5.875,5.375,6.125
2002:02,1.75,,1.037167711,1.037167711,,5.9,5.9,1.5,1.625,1.625,,1.775302788,1.775302788,1.549848606,6.125,5.875,5.375,5.625
2003:01,1.25,,1.87242049,1.87242049,,5.9,5.9,1.375,1.375,1.25,,,,1.375,5.875,6.125,5.75,5.875
2003:02,1,,1.693921722,1.693921722,,6.05,6.05,1.375,1.375,1.25,,1.612527387,1.612527387,1.193736307,5.875,6.125,5.75,5.9375
2004:01,1,,1.416781293,1.416781293,,5.866666667,5.866666667,1.125,1.875,1.75,,,,1.125,5.375,5.375,5.125,5.375
2004:02,1.25,,1.534677111,1.534677111,,5.6,5.6,1.125,1.875,1.75,,1.966376708,1.966376708,1.766811646,5.375,5.375,5.125,5.25
2005:01,2.5,,1.567366433,1.567366433,,5.433333333,5.433333333,1.625,1.875,1.875,,,,1.625,5.25,5,5,5.25
2005:02,3.25,,1.527687378,1.527687378,,5.15,5.15,1.625,1.875,1.875,,1.747968089,1.747968089,1.938515956,5.25,5,5,5
2006:01,4.5,,1.904982404,1.904982404,,4.933333333,4.933333333,2,2.375,2.125,,,,2,4.875,4.875,4.875,4.875
2006:02,5.25,,2.065087853,2.065087853,,4.65,4.65,2,2.375,2.125,,2.266503363,2.266503363,2.304248318,4.875,4.875,4.875,4.875
2007:01,5.25,,2.265337974,2.265337974,,4.466666667,4.466666667,2.125,2.125,1.875,,,,2.125,4.625,4.625,4.75,4.625
2007:02,5.25,,1.856575203,1.856575203,,4.5,4.5,2.125,2.125,1.875,,1.735314597,1.735314597,2.194842702,4.625,4.625,4.75,4.6875